name,group,year,value
Napa,North Bay,43902,0
Solano,North Bay,43902,6
Sonoma,North Bay,43902,3
Marin,North Bay,43902,3
Contra Costa,East Bay,43902,10
Alameda,East Bay,43902,3
San Mateo,Peninsula,43902,15
San Francisco,San Francisco,43902,18
Santa Clara,South Bay,43902,48
Napa,North Bay,43903,0
Solano,North Bay,43903,6
Sonoma,North Bay,43903,3
Marin,North Bay,43903,3
Contra Costa,East Bay,43903,25
Alameda,East Bay,43903,11
San Mateo,Peninsula,43903,20
San Francisco,San Francisco,43903,23
Santa Clara,South Bay,43903,79
Napa,North Bay,43904,0
Solano,North Bay,43904,6
Sonoma,North Bay,43904,3
Marin,North Bay,43904,3
Contra Costa,East Bay,43904,25
Alameda,East Bay,43904,11
San Mateo,Peninsula,43904,20
San Francisco,San Francisco,43904,28
Santa Clara,South Bay,43904,91
Napa,North Bay,43905,0
Solano,North Bay,43905,6
Sonoma,North Bay,43905,4
Marin,North Bay,43905,5
Contra Costa,East Bay,43905,25
Alameda,East Bay,43905,11
San Mateo,Peninsula,43905,20
San Francisco,San Francisco,43905,37
Santa Clara,South Bay,43905,114
Napa,North Bay,43906,0
Solano,North Bay,43906,9
Sonoma,North Bay,43906,5
Marin,North Bay,43906,9
Contra Costa,East Bay,43906,29
Alameda,East Bay,43906,21
San Mateo,Peninsula,43906,42
San Francisco,San Francisco,43906,40
Santa Clara,South Bay,43906,138
Napa,North Bay,43907,0
Solano,North Bay,43907,9
Sonoma,North Bay,43907,6
Marin,North Bay,43907,15
Contra Costa,East Bay,43907,39
Alameda,East Bay,43907,27
San Mateo,Peninsula,43907,64
San Francisco,San Francisco,43907,43
Santa Clara,South Bay,43907,155
Napa,North Bay,43908,0
Solano,North Bay,43908,9
Sonoma,North Bay,43908,8
Marin,North Bay,43908,15
Contra Costa,East Bay,43908,41
Alameda,East Bay,43908,31
San Mateo,Peninsula,43908,80
San Francisco,San Francisco,43908,51
Santa Clara,South Bay,43908,175
Napa,North Bay,43909,0
Solano,North Bay,43909,10
Sonoma,North Bay,43909,8
Marin,North Bay,43909,25
Contra Costa,East Bay,43909,42
Alameda,East Bay,43909,35
San Mateo,Peninsula,43909,89
San Francisco,San Francisco,43909,70
Santa Clara,South Bay,43909,189
Napa,North Bay,43910,0
Solano,North Bay,43910,13
Sonoma,North Bay,43910,11
Marin,North Bay,43910,38
Contra Costa,East Bay,43910,46
Alameda,East Bay,43910,45
San Mateo,Peninsula,43910,100
San Francisco,San Francisco,43910,76
Santa Clara,South Bay,43910,196
Napa,North Bay,43911,0
Solano,North Bay,43911,14
Sonoma,North Bay,43911,23
Marin,North Bay,43911,38
Contra Costa,East Bay,43911,51
Alameda,East Bay,43911,71
San Mateo,Peninsula,43911,110
San Francisco,San Francisco,43911,84
Santa Clara,South Bay,43911,263
Napa,North Bay,43912,2
Solano,North Bay,43912,14
Sonoma,North Bay,43912,27
Marin,North Bay,43912,38
Contra Costa,East Bay,43912,61
Alameda,East Bay,43912,106
San Mateo,Peninsula,43912,117
San Francisco,San Francisco,43912,108
Santa Clara,South Bay,43912,302
Napa,North Bay,43913,2
Solano,North Bay,43913,21
Sonoma,North Bay,43913,29
Marin,North Bay,43913,47
Contra Costa,East Bay,43913,71
Alameda,East Bay,43913,122
San Mateo,Peninsula,43913,142
San Francisco,San Francisco,43913,131
Santa Clara,South Bay,43913,321
Napa,North Bay,43914,3
Solano,North Bay,43914,21
Sonoma,North Bay,43914,34
Marin,North Bay,43914,53
Contra Costa,East Bay,43914,86
Alameda,East Bay,43914,135
San Mateo,Peninsula,43914,161
San Francisco,San Francisco,43914,152
Santa Clara,South Bay,43914,375
Napa,North Bay,43915,5
Solano,North Bay,43915,24
Sonoma,North Bay,43915,35
Marin,North Bay,43915,60
Contra Costa,East Bay,43915,108
Alameda,East Bay,43915,135
San Mateo,Peninsula,43915,165
San Francisco,San Francisco,43915,178
Santa Clara,South Bay,43915,459
Napa,North Bay,43916,6
Solano,North Bay,43916,31
Sonoma,North Bay,43916,39
Marin,North Bay,43916,60
Contra Costa,East Bay,43916,131
Alameda,East Bay,43916,178
San Mateo,Peninsula,43916,195
San Francisco,San Francisco,43916,223
Santa Clara,South Bay,43916,542
Napa,North Bay,43917,8
Solano,North Bay,43917,34
Sonoma,North Bay,43917,43
Marin,North Bay,43917,65
Contra Costa,East Bay,43917,147
Alameda,East Bay,43917,220
San Mateo,Peninsula,43917,239
San Francisco,San Francisco,43917,279
Santa Clara,South Bay,43917,574
Napa,North Bay,43918,9
Solano,North Bay,43918,34
Sonoma,North Bay,43918,54
Marin,North Bay,43918,68
Contra Costa,East Bay,43918,151
Alameda,East Bay,43918,256
San Mateo,Peninsula,43918,274
San Francisco,San Francisco,43918,308
Santa Clara,South Bay,43918,591
Napa,North Bay,43919,10
Solano,North Bay,43919,34
Sonoma,North Bay,43919,54
Marin,North Bay,43919,74
Contra Costa,East Bay,43919,175
Alameda,East Bay,43919,270
San Mateo,Peninsula,43919,277
San Francisco,San Francisco,43919,340
Santa Clara,South Bay,43919,646
Napa,North Bay,43920,14
Solano,North Bay,43920,43
Sonoma,North Bay,43920,58
Marin,North Bay,43920,93
Contra Costa,East Bay,43920,187
Alameda,East Bay,43920,283
San Mateo,Peninsula,43920,309
San Francisco,San Francisco,43920,374
Santa Clara,South Bay,43920,848
Napa,North Bay,43921,15
Solano,North Bay,43921,49
Sonoma,North Bay,43921,73
Marin,North Bay,43921,99
Contra Costa,East Bay,43921,212
Alameda,East Bay,43921,313
San Mateo,Peninsula,43921,309
San Francisco,San Francisco,43921,397
Santa Clara,South Bay,43921,890
Napa,North Bay,43922,18
Solano,North Bay,43922,54
Sonoma,North Bay,43922,85
Marin,North Bay,43922,107
Contra Costa,East Bay,43922,250
Alameda,East Bay,43922,359
San Mateo,Peninsula,43922,388
San Francisco,San Francisco,43922,434
Santa Clara,South Bay,43922,956
Napa,North Bay,43923,18
Solano,North Bay,43923,61
Sonoma,North Bay,43923,91
Marin,North Bay,43923,108
Contra Costa,East Bay,43923,276
Alameda,East Bay,43923,396
San Mateo,Peninsula,43923,453
San Francisco,San Francisco,43923,450
Santa Clara,South Bay,43923,1019
Napa,North Bay,43924,20
Solano,North Bay,43924,73
Sonoma,North Bay,43924,95
Marin,North Bay,43924,118
Contra Costa,East Bay,43924,307
Alameda,East Bay,43924,443
San Mateo,Peninsula,43924,486
San Francisco,San Francisco,43924,497
Santa Clara,South Bay,43924,1094
